observation_id,endpoint,reviewer_a_label,reviewer_a_source,reviewer_b_label,reviewer_b_source,disagreement,adjudicated_label,adjudicator_source,review_status
aapl-2021,hard_distress_12m,,,,,,,,pending
aapl-2021,financial_deterioration_12m,,,,,,,,pending
aapl-2022,hard_distress_12m,,,,,,,,pending
aapl-2022,financial_deterioration_12m,,,,,,,,pending
aapl-2023,hard_distress_12m,,,,,,,,pending
aapl-2023,financial_deterioration_12m,,,,,,,,pending
msft-2021,hard_distress_12m,,,,,,,,pending
msft-2021,financial_deterioration_12m,,,,,,,,pending
msft-2022,hard_distress_12m,,,,,,,,pending
msft-2022,financial_deterioration_12m,,,,,,,,pending
msft-2023,hard_distress_12m,,,,,,,,pending
msft-2023,financial_deterioration_12m,,,,,,,,pending
intc-2021,hard_distress_12m,,,,,,,,pending
intc-2021,financial_deterioration_12m,,,,,,,,pending
intc-2022,hard_distress_12m,,,,,,,,pending
intc-2022,financial_deterioration_12m,,,,,,,,pending
intc-2023,hard_distress_12m,,,,,,,,pending
intc-2023,financial_deterioration_12m,,,,,,,,pending
f-2021,hard_distress_12m,,,,,,,,pending
f-2021,financial_deterioration_12m,,,,,,,,pending
f-2022,hard_distress_12m,,,,,,,,pending
f-2022,financial_deterioration_12m,,,,,,,,pending
f-2023,hard_distress_12m,,,,,,,,pending
f-2023,financial_deterioration_12m,,,,,,,,pending
gm-2021,hard_distress_12m,,,,,,,,pending
gm-2021,financial_deterioration_12m,,,,,,,,pending
gm-2022,hard_distress_12m,,,,,,,,pending
gm-2022,financial_deterioration_12m,,,,,,,,pending
gm-2023,hard_distress_12m,,,,,,,,pending
gm-2023,financial_deterioration_12m,,,,,,,,pending
dal-2021,hard_distress_12m,,,,,,,,pending
dal-2021,financial_deterioration_12m,,,,,,,,pending
dal-2022,hard_distress_12m,,,,,,,,pending
dal-2022,financial_deterioration_12m,,,,,,,,pending
dal-2023,hard_distress_12m,,,,,,,,pending
dal-2023,financial_deterioration_12m,,,,,,,,pending
luv-2021,hard_distress_12m,,,,,,,,pending
luv-2021,financial_deterioration_12m,,,,,,,,pending
luv-2022,hard_distress_12m,,,,,,,,pending
luv-2022,financial_deterioration_12m,,,,,,,,pending
luv-2023,hard_distress_12m,,,,,,,,pending
luv-2023,financial_deterioration_12m,,,,,,,,pending
wmt-2021,hard_distress_12m,,,,,,,,pending
wmt-2021,financial_deterioration_12m,,,,,,,,pending
wmt-2022,hard_distress_12m,,,,,,,,pending
wmt-2022,financial_deterioration_12m,,,,,,,,pending
wmt-2023,hard_distress_12m,,,,,,,,pending
wmt-2023,financial_deterioration_12m,,,,,,,,pending
tgt-2021,hard_distress_12m,,,,,,,,pending
tgt-2021,financial_deterioration_12m,,,,,,,,pending
tgt-2022,hard_distress_12m,,,,,,,,pending
tgt-2022,financial_deterioration_12m,,,,,,,,pending
tgt-2023,hard_distress_12m,,,,,,,,pending
tgt-2023,financial_deterioration_12m,,,,,,,,pending
wba-2021,hard_distress_12m,,,,,,,,pending
wba-2021,financial_deterioration_12m,,,,,,,,pending
wba-2022,hard_distress_12m,,,,,,,,pending
wba-2022,financial_deterioration_12m,,,,,,,,pending
wba-2023,hard_distress_12m,,,,,,,,pending
wba-2023,financial_deterioration_12m,,,,,,,,pending
pfe-2021,hard_distress_12m,,,,,,,,pending
pfe-2021,financial_deterioration_12m,,,,,,,,pending
pfe-2022,hard_distress_12m,,,,,,,,pending
pfe-2022,financial_deterioration_12m,,,,,,,,pending
pfe-2023,hard_distress_12m,,,,,,,,pending
pfe-2023,financial_deterioration_12m,,,,,,,,pending
jnj-2021,hard_distress_12m,,,,,,,,pending
jnj-2021,financial_deterioration_12m,,,,,,,,pending
jnj-2022,hard_distress_12m,,,,,,,,pending
jnj-2022,financial_deterioration_12m,,,,,,,,pending
jnj-2023,hard_distress_12m,,,,,,,,pending
jnj-2023,financial_deterioration_12m,,,,,,,,pending
cvx-2021,hard_distress_12m,,,,,,,,pending
cvx-2021,financial_deterioration_12m,,,,,,,,pending
cvx-2022,hard_distress_12m,,,,,,,,pending
cvx-2022,financial_deterioration_12m,,,,,,,,pending
cvx-2023,hard_distress_12m,,,,,,,,pending
cvx-2023,financial_deterioration_12m,,,,,,,,pending
oxy-2021,hard_distress_12m,,,,,,,,pending
oxy-2021,financial_deterioration_12m,,,,,,,,pending
oxy-2022,hard_distress_12m,,,,,,,,pending
oxy-2022,financial_deterioration_12m,,,,,,,,pending
oxy-2023,hard_distress_12m,,,,,,,,pending
oxy-2023,financial_deterioration_12m,,,,,,,,pending
nee-2021,hard_distress_12m,,,,,,,,pending
nee-2021,financial_deterioration_12m,,,,,,,,pending
nee-2022,hard_distress_12m,,,,,,,,pending
nee-2022,financial_deterioration_12m,,,,,,,,pending
nee-2023,hard_distress_12m,,,,,,,,pending
nee-2023,financial_deterioration_12m,,,,,,,,pending
aep-2021,hard_distress_12m,,,,,,,,pending
aep-2021,financial_deterioration_12m,,,,,,,,pending
aep-2022,hard_distress_12m,,,,,,,,pending
aep-2022,financial_deterioration_12m,,,,,,,,pending
aep-2023,hard_distress_12m,,,,,,,,pending
aep-2023,financial_deterioration_12m,,,,,,,,pending
cat-2021,hard_distress_12m,,,,,,,,pending
cat-2021,financial_deterioration_12m,,,,,,,,pending
cat-2022,hard_distress_12m,,,,,,,,pending
cat-2022,financial_deterioration_12m,,,,,,,,pending
cat-2023,hard_distress_12m,,,,,,,,pending
cat-2023,financial_deterioration_12m,,,,,,,,pending
ba-2021,hard_distress_12m,,,,,,,,pending
ba-2021,financial_deterioration_12m,,,,,,,,pending
ba-2022,hard_distress_12m,,,,,,,,pending
ba-2022,financial_deterioration_12m,,,,,,,,pending
ba-2023,hard_distress_12m,,,,,,,,pending
ba-2023,financial_deterioration_12m,,,,,,,,pending
ups-2021,hard_distress_12m,,,,,,,,pending
ups-2021,financial_deterioration_12m,,,,,,,,pending
ups-2022,hard_distress_12m,,,,,,,,pending
ups-2022,financial_deterioration_12m,,,,,,,,pending
ups-2023,hard_distress_12m,,,,,,,,pending
ups-2023,financial_deterioration_12m,,,,,,,,pending
fdx-2021,hard_distress_12m,,,,,,,,pending
fdx-2021,financial_deterioration_12m,,,,,,,,pending
fdx-2022,hard_distress_12m,,,,,,,,pending
fdx-2022,financial_deterioration_12m,,,,,,,,pending
fdx-2023,hard_distress_12m,,,,,,,,pending
fdx-2023,financial_deterioration_12m,,,,,,,,pending
